1;Porto Velho;0.736
2;Vilhena;0.731
3;Cacoal;0.718
4;Ji-Paraná;0.714
5;Pimenta Bueno;0.710
6;Ariquemes;0.702
7;Rolim de Moura;0.700
8;Cerejeiras;0.692
9;Jaru;0.689
10;Colorado do Oeste;0.685
11;Ouro Preto do Oeste;0.682
12;Espigão d'Oeste;0.672
13;Santa Luzia d'Oeste;0.670
14;Pimenteiras do Oeste;0.665
15;Presidente Médici;0.664
16;Castanheiras;0.658
17;Guajará-Mirim;0.657
18;Chupinguaia;0.652
19;Cabixi;0.650
20;Candeias do Jamari;0.649
20;São Felipe d'Oeste;0.649
22;Cacaulândia;0.646
22;São Miguel do Guaporé;0.646
24;Mirante da Serra;0.643
24;Alvorada d'Oeste;0.643
24;Teixeirópolis;0.643
24;Nova Brasilândia d'Oeste;0.643
24;Rio Crespo;0.643
29;Primavera de Rondônia;0.641
29;Alta Floresta d'Oeste;0.641
31;Ministro Andreazza;0.638
32;Novo Horizonte do Oeste;0.634
33;Vale do Paraíso;0.627
34;Alto Paraíso;0.625
35;Parecis;0.617
36;Buritis;0.616
37;Itapuã do Oeste;0.614
38;Corumbiara;0.613
39;Cujubim;0.612
40;Costa Marques;0.611
40;São Francisco do Guaporé;0.611
42;Urupá;0.609
43;Monte Negro;0.607
44;Seringueiras;0.598
45;Governador Jorge Teixeira;0.596
45;Machadinho d'Oeste;0.596
47;Campo Novo de Rondônia;0.593
48;Alto Alegre dos Parecis;0.592
49;Theobroma;0.589
50;Nova União;0.587
50;Nova Mamoré;0.587
52;Vale do Anari;0.584
